TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,12,1,11201001,SH 7701 (GW) CP,PS
ACC PINTU,SHOWER HINGE,DEKKSON,11201002,SH 7703 (180) CP,PS
,,,11201003,SH 7704 (90) CP,PS
,,,,,
,,2,11202001,BJ 103 C US 32 D -180,PS
,,GMT,11202002,BJ 304 C,PS
,,,,,
,,3,11203001,SHL 201A US 32,PS
,,MILANO,,,
,,,,,
,,4,11204001,SHM 3000 - 1 US32D,PS
,,OMGE,11204002,SHM 3000 - 4 US32D,PS
,,,11204003,SHM 3000 - 5 US32D,PS
,,,11204004,SHB 302 US26,PS
,,,,,
,,5,11205001,SH PF 773 - 1 (GW) CP,PS
,,ROWEL,,,
,,,,,
,,6,11206001,GH-02,PS
,,SES,,,
,,,,,
,,7,11207001,S-1000 GTW,PS
,,DORMA,,,
