TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,2,1,10201001,Y 81105 AB,PS
ACC PINTU,HANDLE ROSE,ALBION,10201002,H017 RS001 SC,PS
,,,,,
,,2,10202001,ASCOLLI ROSE SN/CP,PS
,,AVICCI,,,
,,,,,
,,3,10203001,B 797 NB,PS
,,BAUER,,,
,,,,,
,,4,10204001,ET 901 E01 DAB,PS
,,BOLZANO,,,
,,,,,
,,5,10205001,FA 712-589 PP,PS
,,CAVELL,10205002,FA 712-593 PP+BODY CAVELL,SET
,,,10205003,FA 713-592 PP+BODY CAVELL,SET
,,,10205004,FA 712-591 PP+BODY CAVELL,SET
,,,,,
,,6,10206001,LHR DKS 109-100-889 SN+NP,PS
,,DEKKSON,10206002,LHTR 0017 SSS,PS
,,,10206003,LHR 10681 MAB,PS
,,,10206004,LHR 10632 MAB,PS
,,,10206005,LHR 8288 MAB,PS
,,,10206006,LHR 9818 MAB,PS
,,,10206007,LHR 7580 CF,PS
,,,10206008,LHR 8536 CF,PS
,,,10206009,LHR 10693 CF,PS
,,,10206010,LHR 81033 MAB,PS
,,,10206011,LHR 8267 MAB,PS
,,,,,
,,7,10207001,4003 SS,PS
,,EGO,10207002,L141-A13,PS
,,,,,
,,8,10208001,F02 BSN/BNP,PS
,,F&F,10208002,F04 BSN,PS
,,,10208003,F05 BSN/BNP,PS
,,,10208004,RA 06 BSN/BNP,PS
,,,,,
,,9,10209001,LIV (032) SN,PS
,,FORME,,,
,,,,,
,,10,10210001,LHSR NEMO 113103320161 PB,PS
,,ISEO,,,
,,,,,
,,11,10211001,AS 507C.66 SS,PS
,,LINEACALLI,10211002,AS 508B.18 SB/PB,PS
,,,,,
,,12,10212001,GA 8012 SS,PS
,,MAVERIK,10212002,MW/AMG 56319 SN/CP,PS
,,,,,
,,13,10213001,3040 YN/GP,PS
,,MULLER,10213002,30176 SN/GP,PS
,,,10213003,30184 YN/GP,PS
,,,,,
,,14,10214001,LHM 0582 US32D,PS
,,OMGE,10214002,LHM 0887 A US32D SN,PS
,,,10214003,LHM 0764 US32D SN,PS
,,,10214004,LHM 0889 A US32D SN,PS
,,,10214005,LHSU 01002 US32D SN,PS
,,,10214006,LHSU 01017 US32D  / LHM 0262 US32D,PS
,,,10214007,LHM 0560 US32D,PS
,,,10214008,LHM 0580 US32D,PS
,,,10214009,LHM 0584 US32D,PS
,,,10214010,LHM 0891 US32D,PS
,,,10214011,LHM 5157A WHT,PS
,,,10214012,LHM 5157A SLV,PS
,,,10214013,LHM 5258A-BLK,PS
,,,,,
,,15,10215001,2100 HP J60 AB,PS
,,PRO,,,
,,,,,
,,16,10216001,LH 084 SS KOTAK,PS
,,SES,10216002,LH 152 SN,PS
,,,10216003,AS 805.561 BSN,PS
,,,10216004,LH 192 SS,PS
,,,10216005,808 SN/BSN,PS
,,,10216006,814 BSN/BNP,PS
,,,10216007,815 BSN/BNP,PS
,,,10216008,820 BSN/BNP,PS
,,,10216009,822 BSN/BNP,PS
,,,10216010,832 BSN/BNP,PS
,,,10216011,833 BSN/BNP,PS
,,,10216012,834 BSN/BNP,PS
,,,10216013,839 BSN/BNP,PS
,,,10216014,841 BSN/BNP,PS
,,,10216015,847 BSN,PS
,,,10216016,857 BSN/BNP,PS
,,,10216017,870 BSN/BNP,PS
,,,10216018,871 SN/NP,PS
,,,10216019,2511 SN,PS
,,,10216020,2512 SS/SP,PS
,,,10216021,2513 SN,PS
,,,10216022,2514 SS/SP,PS
,,,10216023,2515 SS/SP,PS
,,,10216024,AS 502M 186 SN/NP,PS
,,,10216025,501 BSN,PS
,,,10216026,C 02 SS/PS,PS
,,,10216027,C 05 SS/PS,PS
,,,10216028,C03 SS/PS,PS
,,,10216029,901 BSN/BNP,PS
,,,10216030,903 BSN/BNP,PS
,,,,,
,,17,10217001,4003 S10 BLACK,PS
,,SOLIGEN,10217002,B003-08 BLACK,PS
,,,10217003,B003-14 BLACK,PS
,,,,,
,,18,10218001,CMH 061 SN,PS
,,STARCK,10218002,STA S01 2009 PS/SS,PS
,,,10218003,STA S01 2018 PS/SS,PS
,,,10218004,STA S01 2023 PS/SS,PS
,,,10218005,091-A4 BLACK,PS
,,,10218006,D108 A2 BLACK,PS
,,,10218007,811-812 BLACK ,PS
,,,10218008,118 SUS 304 SS,PS
,,,10218009,118 -304 BLACK,PS
,,,,,
,,19,10219001,HRE PISA AB,PS
,,DUMONT,,,
,,,,,
,,20,10220001,SS 9162 SN,PS
,,MILANO,10220002,SS 9161 SN,PS
,,,,,
,,21,10221001,6016 SS,PS
,,STRONG,10221002,6003 SS,PS
,,,,,
,,22,10222001,ALUMINIUM AI SS,PS
,,ORCHAD,10222002,ALUMINIUM WHITE,PS
,,,,,
,,23,10223001,SS 103 ALD,PS
,,BELLOCA,10223002,SS 105,PS
