TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN,
1,1,1,10101001,6020 SN/GP,PS,
ACC PINTU,HANDLE,ALINEA,10101002,6020 BN/GP,PS,
,,,10101003,7020 BN/GP,PS,
,,,10101004,7080 SN/GP,PS,  
,,,,,,
,,2,10102001,F 937-20 SN/NP,PS,
,,ARCHIE,,,,
,,,,,,
,,3,10103001,68102 BN/GP.GP,PS,
,,BEST,,,,
,,,,,,
,,4,10104001,07/026 NP/GP,PS,
,,CAESAR,,,,
,,,,,,
,,5,10105001,FA 20-567 PP+BODY CAVELL,SET,
,,CAVELL,,,,
,,,,,,
,,6,10106001,LHP 965 36 CF,PS,
,,DEKKSON,10106002,LHP 11692 CF,PS,
,,,10106003,LHP 95580 CF,PS,
,,,,,,
,,7,10107001,LID (031) SN,PS,
,,FORME,,,,
,,,,,,
,,8,10108001,BMT 9178 396,PS,
,,GERBER,,,,
,,,,,,
,,9,10109001,685 H85 BN/GP,PS,
,,MANDARIN,,,,
,,,,,,
,,10,10110001,80128 PRG,PS,
,,MULLER,,,,
,,,,,,
,,11,10111001,169.69 SN/GP,PS,
,,NIOBE,10111002,169.69 GP/BN,PS,
,,,10111003,6020 BN/GP,PS,
,,,10111004,9720 BN/GP,PS,
,,,10111005,9780 SN/GP,PS,
,,,,,,
,,12,10112001,A5 522-203 MAB,PS,
,,SES,10112002,A5 522-231 SN/NP,PS,
,,,10112003,535-806 BSN/BNP,PS,
,,,10112004,535-835 BSN/BNP,PS,
,,,10112005,535-841 BSN/BNP,PS,
,,,10112006,535-847 BSN/BNP,PS,
,,,10112007,535-849 BSN/BNP,PS,
,,,10112008,ML 101 AL SN,PS,
,,,10112009,CLP 01 NAB,PS,
,,,10112010,CLP 02 NAB,PS,
,,,10112011,535-881 BSN/BNP,PS,
,,,10112012,535-867 BSN/BNP,PS,
,,,10112013,535-868 BSN/BNP,PS,
,,,10112014,535-503 SSP,PS,
,,,10112015,CLP 21 NAB,PS,
,,,10112016,CLP 20 NAB,PS,
,,,10112017,CLP 22 NAB,PS,
,,,10112018,535-504 SSP,PS,
,,,,,,
,,13,10113001,68012 PRG,PS,
,,TOOTI,,,,
,,,,,,
,,14,10114001,AMARIS ZA/AB,PS,
,,VANELLI,,,,
,,,,,,
,,15,10115001,6028 BN/GP,PS,
,,VANESSA/VNS,,,,
,,,,,,
,,16,10116001,SUS 210P SN CH,PS,
,,ALBION,10116002,SUS 214P SN,PS,
,,,10116003,SUS 215P SN,PS,
,,,10116004,H017 P11 SC,PS,
,,,10116005,H017 P11 ABR,PS,
,,,,,,
,,17,10117001,SET BISON SN CP,SET,
,,EXCEL,,,,
,,,,,,
,,18,10118001,LHM 5056A WHT,PS,
,,OMGE,10118002,LHM 5056A SLV,PS,
,,,,,,
,,19,10119001,911.03 SN/CP COMP,PS,
,,BRUNO,,,,
,,,,,,
,,20,10120001,SET ALM LHP 9022 WHITE,PS,
,,,,,,
,,21,10121001,301.69 WHITE,PS,
,,KENZO,,,,
,,,,,,
,,22,10122001,SET 606.08 SS,SET,
,,SLG,10122002,SET 606.06 SS,SET,
,,,10122003,SET 303.05 SS,SET,
,,,,,,
,,23,10123001,SET HG 01 B-L-CP,SET,
,,HUGO,10123002,SET HG 01 L-CP,SET,
,,,10123003,SET HG 02 L-CP,SET,
,,,,,,
,,24,10124001,SET T3 PLAT 01,SET,
,,AGNELLI,10124002,SET T3 PLAT 03,SET,
,,,,,,
,,25,10125001,88-2009 PS/SS 304,PS,
,,STARCK,10125002,88-2025 SS/PS 304,PS,
,,,,,,
,,26,10126001,FE 412 MAB,PS,
,,BELLOCA,10126002,FE 402 MAB,PS,
,,,,,,
,,27,10127001,SET LARGE BL004 BLACK,SET,
,,BLUMONT,10127002,SET SMALL BS 007 SN/NP,SET,
,,,10127003,SET BL 008 BLACK,SET,
,,,10127004,SET BL 009 BLACK,SET,
