TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,18,1,11801001,"EXPANDA ALM BA - 9"" SN",BH
ACC PINTU,DOOR CLOSER,DEKKSON,11801002,DCL 300 NHO NA,BH
,,,11801005,DCL 300 NHO WH,BH
,,,,,
,,2,11802001,DCM 313 FBC SLV,BH
,,OMGE,11802002,DCM 222 (196),BH
,,,11802005,DCM 523 HO SLV (101 D),BH
,,,11802006,DCM 523 HO BR (101 D),BH
,,,11802007,DCM 523 NHO SLV (101 A),BH
,,,11802008,DCM 523 NHO BRW (101 A),BH
,,,11802009,DCM 102 SLV,BH
,,,11802010,DCM 9326 F-BC-DT-CF SLV(NHO),BH
,,,11802012,SLIDING CHECK DCM 1905 US32D,BH
,,,,,
,,3,11803001,HO PUTIH,BH
,,INTERKEY,,,
,,,,,
,,4,11804001,DCL 202 NHO WH,BH
,,HAMPTON,11804002,DCL 202 NHO BA,BH
,,,11804003,DCL 202 NHO NA slv,BH
,,,,,
,,5,11805001,HO,BH
,,BELMONDO,11805002,NHO,BH
