TYPE,,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
6,,1,1,60101001,PT 19,BH
ACC MEBEL,CAMPUR,BRACKET PIPA,HUBEN,,,
,,,,,,
,,2,1,60201001,180,PS
,,ENGSEL SENDOK,FERRARY,,,
,,,,,,
,,,2,60202001,BESI HT 8 - 1/2 TEKUK,PS
,,,HUBEN,,,
,,,,,,
,,,3,60203001,LURUS,PS
,,,LAMA,,,
,,,,,,
,,,4,60204001,HYD 304 ES SD 101 FULL OVERLAY PSS,PS
,,,DEKKSON,60204002,HYD 304 ES SD 101 INSET PSS (TEKUK),PS
,,,,,,
,,,5,60205001,HYD TEKUK SLOW MOTION,PS
,,,FERZA,60205002,HYD LURUS SLOW MOTION,PS
,,,,,,
,,,6,60206001,KECIL E 1007,PS
,,,,,,
,,,,,,
,,3,1,60301001,KACA T86 S,BH
,,ENGSEL,,,,
,,,,,,
,,4,1,60401001,"2"" SN",BH
,,GRENDEL,,,,
,,,,,,
,,5,1,60501001,AK 03,BH
,,HAMBALAN,,60501002,AK 06,BH
,,,,60501003,KACA OK - 9,BH
,,,,,,
,,,2,60502001,BESI RH 13,BH
,,,HUBEN,,,
,,,,,,
,,6,1,60601001,CHR,BH
,,JEPIT UDANG,ALBION,,,
,,,,,,
,,,2,60602001,AC,BH
,,,GDO,60602002,CHR,BH
,,,,,,
,,,3,60603001,UMT 182 CH,BH
,,,TRUZTY,,,
,,,,,,
,,7,1,60701001,70MM CHR,BH
,,KECES,,60701002,KUNINGAN S,BH
,,,,60701003,KUNINGAN M,BH
,,,,,,
,,,2,60702001,OTM BSR,BH
,,,ALBION,,,
,,,,,,
,,,3,60703001,UML 570-70 SN,BH
,,,MILANO,,,
,,,,,,
,,8,1,60801001,SINGLE + PUSH BLACK,BH
,,MAGNIT,,,,
,,,2,60802001,SINGLE PUTIH,BH
,,,MEIYI,60802002,DOUBLE PUTIH,BH
,,,,60802003,DOUBLE COKLAT,BH
,,,,,,
,,,3,60803001,UMT 286L WH,BH
,,,TRUZTY,60803002,UMT 286L BR,BH
,,,,60803004,UMT 286S BR,BH
,,,,,,
,,9,1,60901001,BS 08 A 350 MM,BH
,,REL LACI,HUBEN,60901002,BS 08 A 400 MM,BH
,,,,60901003,BS 08 A 450 MM,BH
,,,,,,
,,10,1,61001001,RH 21,BH
,,RING TUNDAN,,,,
,,,,,,
,,11,1,61101001,MAGNIT PUTIH,BH
,,TRAPEZ,,61101002,MAGNIT COKLAT,BH
,,,,,,
,,12,1,61201001,UDC 301 S 25X30 US32,BH
,,GLASS HOLDER,LECCO,61201002,UDC 301 S 25X60 US32,BH
,,,,61201003,UDC 301 S 25X80 US32,BH
,,,,61201004,UDC 901 H 25X30 US32D,BH
,,,,61201005,UDC 901 H 25X40 US32D,BH
,,,,61201006,UDC 901 H 25X60 US32D,BH
,,,,61201007,UDC 901 H 25X80 US32D,BH
,,,,,,
,,13,1,61301001,UTL 100 N (NYLON),BH
,,GAS SPRING,LECCO,61301002,UTL 100 N (STEEL),BH
,,,,,,
,,14,1,61401001,"RC RUB 75-3"" NO-BRAKE",BH
,,ROLLER,HAMPTON,61401002,"RC RUB 75-3"" BRAKE",BH
,,,,61401003,"RC 50 2""BALL",BH
