TYPE,,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
4,,1,1,40101001,LH 002 SN,BH
ACC PINTU,CAMPUR,HANDLE JENDELA,ALBION,40101002,LH 018 SN,BH
,JENDELA,,,40101003,LH 019 GP,BH
,,,,40101004,LH 019 SN,BH
,,,,40101005,4338 GP,BH
,,,,40101006,4339 AB,BH
,,,,40101007,LH 016 S SN,BH
,,,,,,
,,,2,40102001,W 813 GP,BH
,,,MULLER,,,
,,,,,,
,,2,1,40201001,DL 623 SN,BH
,,WINDOW LOCK,,,,
,,,2,40202001,FLUSH HANDLE+BODY DORONG,BH
,,,OMGE,,WLM (014+263)-60 SN,
,,,,40202002,WLM 002-45 SN,BH
,,,,,,
,,3,1,40301001,EPL 640MM SSS,BH
,,ESPANYOLET,DEKKSON,40301002,EPL 1000MM SSS,BH
,,,,40301003,EPL 1600MM SSS,BH
,,,,,,
,,,2,40302001,BULAT SN,BH
,,,OK,,,
,,,,,,
,,4,1,40401001,"YH 2155/9"" SS",PS
,,ENGSEL SALON,GERBER,,,
