TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,21,1,12101001,RODA KACA SLIDING KOTAK 2218 ( 2M ),SET
ACC PINTU,REL,FINEASY,12101002,RODA KACA SLIDING OVAL 2219 ( 2M ),SET
,,,,,
,,2,12102001,"RW 75 ( 2,1M )",SET
,,GMT,,,
,,,,,
,,3,12103001,DGM M3,SET
,,OMGE,12103002,DGM M4,SET
,,,12103003,DGM M5,SET
,,,,,
,,4,12104001,WS-180 RD2 NYLON,SET
,,WINA,12104002,WS-90 RD2 NYLON,SET
,,,,,
,,5,12105001,J3,SET
,,BENELOCK,,,
,,,,,
,,6,12106001,"D4 ALUMINIUM 2,1 M",SET
,,DUMONT ,12106002,"D3 ALUMINIUM 1,8 M",SET
,,,,,
,,7,12107001,A4,SET
,,ARMENIE,,,
