TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
10,1,1,100101001,kaca 1/2 WH KN,SET
PINTU,ALUMINIUM PVC,ALUMIX,100101002,kaca 1/2 WH KR,SET
,,,100101003,2 panel WH KN,SET
,,,100101004,2 panel WH KR,SET
,,,100101005,3 panel WH KN,SET
,,,100101006,3 panel WH KR,SET
,,,100101007,kaca 1/01 WH KN,SET
,,,100101008,kaca 1/01 WH KR,SET
,,,100101009,kaca 1/02 WH KN,SET
,,,100101010,kaca 1/02 WH KR,SET
,,,100101011,kaca 2/01 WH KN,SET
,,,100101012,kaca 2/01 WH KR,SET
,,,100101013,kaca 2/02 WH KN,SET
,,,100101014,kaca 2/02 WH KR,SET
,,,100101015,kaca 3/01 WH KN,SET
,,,100101016,kaca 3/01 WH KR,SET
,,,100101017,kaca 3/02 WH KN,SET
,,,100101018,kaca 3/02 WH KR,SET
,,,100101019,kaca 1/2 BR KN,SET
,,,100101020,kaca 1/2 BR KR,SET
,,,100101021,2 panel BR KN,SET
,,,100101022,2 panel BR KR,SET
,,,100101023,3 panel BR KN,SET
,,,100101024,3 panel BR KR,SET
,,,100101025,6 panel WH KN,SET
,,,100101026,6 panel WH KR,SET
,,,100101027,6 panel BR KN,SET
,,,100101028,6 panel BR KR,SET
,,,100101029,4 panel+kaca 2 WH KN,SET
,,,100101030,4 panel+kaca 2 WH KR,SET
,,,100101031,4 panel+kaca 2 BR KN,SET
,,,100101032,4 panel+kaca 2 BR KR,SET
,,,100101033,kaca 1/01 BR KN,SET
,,,100101034,kaca 1/01 BR KR,SET
,,,100101035,kaca 1/02 BR KN,SET
,,,100101036,kaca 1/02 BR KR,SET
,,,100101037,kaca 2/01 BR KN,SET
,,,100101038,kaca 2/01 BR KR,SET
,,,100101039,kaca 2/02 BR KN,SET
,,,100101040,kaca 2/02 BR KR,SET
,,,100101041,kaca 3/01 BR KN,SET
,,,100101042,kaca 3/01 BR KR,SET
,,,100101043,kaca 3/02 BR KN,SET
,,,100101044,kaca 3/02 BR KR,SET
