TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,15,1,11501001,"2"" SN",BH
ACC PINTU,GRENDEL,BELLOCA,,,
,,,,,
,,2,11502001,"3"" GP",BH
,,CAVELL,,,
,,,,,
,,3,11503001,B 27 GP,BH
,,ELT,11503002,B 28 GP,BH
,,,11503003,B 31 GP,BH
,,,,,
,,4,11504001,"CX 200/2"" MSN",BH
,,GERBER,11504002,"CX 200/6"" MSN",BH
,,,11504003,"CX 200/12"" MSN",BH
,,,11504004,"CX 200/18"" MSN",BH
,,,,,
,,5,11505001,"3"" GP",BH
,,GP,11505002,"2"" SN",BH
,,,,,
,,6,11506001,"6"" ALLUMINIUM",BH
,,MULLER,11506002,"5"" ALLUMINIUM",BH
,,,,,
,,7,11507001,DOOR BOLT DBM 100 US32D,BH
,,OMGE,11507002,DOOR BOLT DBM 208 L US32D,BH
,,,11507003,DOOR BOLT DBM 208 S US33D,BH
,,,11507004,"DOOR BOLT DBM 268 - 12"" SN",BH
,,,,,
,,8,11508001,580 GP,BH
,,SES,11508002,DB 002 SS,BH
,,,11508003,"12"" NEW SN",BH
,,,11508004,"2"" NEW SN",BH
,,,,,
,,9,11509001,"2"" SS",BH
,,SOLIGEN,11509002,"3"" SS",BH
,,,11509003,"4"" SS",BH
,,,11509004,"6"" SS",BH
,,,11509005,"8"" SS",BH
,,,11509006,"10"" SS",BH
,,,11509007,"12"" SS",BH
,,,11509008,"18"" SS",BH
,,,11509009,"36"" SS",BH
,,,,,
,,10,11510001,"10"" SN",BH
,,YORK,11510002,"6"" SN",BH
,,,,,
,,11,11511001,HASP STABLE SN,BH
,,MILANO,,,
,,,,,
,,12,11512001,GRENDEL OVERPAL SN,BH
,,OK,11512002,OVERPAL M,BH
,,,11512003,OVERPAL L,BH
,,,11512004,"OVERPAL 2""",BH
,,,11512005,"OVERPAL 2.5""",BH
,,,11512006,"OVERPAL 3""",BH
,,,11512007,"OVERPAL 4""",BH
,,,,,
,,13,11513001,"2"" SN",BH
,,CAB,,,
,,,,,
,,14,11514001,"3"" SS",BH
,,NISHAN,11514002,"4"" SS",BH
