TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,20,1,12001001,40,BH
ACC PINTU,GEMBOK,ABUS,12001002,60,BH
,,,12001003,PANZER 50,BH
,,,12001004,PANZER 70,BH
,,,12001005,PANZER 60,BH
,,,12001006,MK5 - 60,SET
,,,12001007,COVER 60MM,BH
,,,12001008,COVER 50MM,BH
,,,12001009,604 MK SS,SET
,,,12001010,704 MK SS,SET
,,,12001011,705 MK SS,SET
,,,,,
,,2,12002001,AT - 878 - 40MM,BH
,,ALBION,12002002,AT - 878 - 60MM,BH
,,,12002003,AT - 878 - 70MM,BH
,,,12002004,BT - 878 - 50MM,BH
,,,12002005,BT - 878 - 60MM,BH
,,,12002006,BT - 878 - 70MM,BH
,,,12002007,CT - 878 - 50MM,BH
,,,12002008,CT - 888 - 50MM,BH
,,,,,
,,4,12004001,003 - 340 (40MM) SS,BH
,,FALCO,,,
,,,,,
,,5,12005001,PLL 206 - 60MM,BH
,,MILANO,,,
,,,,,
,,6,12006001,PLM MK 5 1012 - 70MM LP/LPD,BH
,,OMGE,12006002,PLM MK 5 1012 - 50MM,BH
,,,12006003,PLM MK 5 1012 - 40MM,BH
,,,12006004,PLM MK 4 1012 - 60MM LPD,BH
,,,12006005,PLM MK 4 1012 - 70MM LP/LPD,BH
,,,12006006,PLM MK 4 1012 - 60MM LP/LPD,BH
,,,12006007,PLM MK 4 1012 - 50 LPD,BH
,,,12006008,PLM MK 4 1012 - 40 LPD,BH
,,,12006009,PLM 101 - 40,BH
,,,12006012,PLM 101 - 70,BH
,,,12006015,PLM 102 - 70,BH
,,,12006016,PLM 978,BH
,,,,,
,,7,12007001,DP 640 - 40MM GP,BH
,,PERUNO,12007002,250 - 50MM GP,BH
,,,,,
,,8,12008001,38MM BLACK,BH
,,SES,12008002,878 - 40 A CHR,BH
,,,12008003,878 - 50 A CHR,BH
,,,12008004,878 - 60 A CHR,BH
,,,12008005,P 01 SS,BH
,,,12008006,CST 80 CHR,BH
,,,12008007,878 - 603 - B CHR,SET
,,,12008008,P02 SS,BH
,,,12008009,878 A 705-70MM MK SN,SET
,,,12008010,878 A 605-60MM MK SN,SET
,,,12008011,878 A 405-40MM MK SN,SET
,,,12008012,878 A 703-70MM CHR,SET
,,,12008013,878 A 503-50MM CHR,SET
,,,12008014,878 A 403-40MM CHR,SET
,,,12008015,878 A 505-50MM CHR,SET
,,,12008016,878 A 701-70MM CHR,SET
,,,12008017,878 A 603-60MM CHR,SET
,,,,,
,,9,12009001,SB 90-90 MM,BH
,,SILCA,,,
,,,,,
,,10,12010001,ANGKA 50S,BH
,,SOLIGEN,12010002,ANGKA 50L,BH
,,,12010003,COMP 40X3,BH
,,,12010004,COMP 40X5,BH
,,,12010005,COMP 50X3,BH
,,,12010006,COMP 50X5,BH
,,,12010007,PER 25 S,BH
,,,12010008,COMP PER 40S,BH
,,,12010009,COMP PER 40L,BH
,,,12010010,COMP PER 50S,BH
,,,12010011,COMP PER 50L,BH
,,,12010012,COMP PER 60L,BH
,,,12010013,60S COMP,BH
,,,,,
,,11,12011001,305 - 70MM GEPENG,BH
,,VIRO,12011002,103 - 60MM BULAT,BH
,,,12011003,104 - 70MM BULAT,BH
,,,,,
,,12,12012001,Y 220 / 51 / 118 / 1,BH
,,YALE,12012002,Y 221 / 52 / 25 / 1,BH
,,,12012003,YP 1 / 28 / 121 / 1Y YELLOW,BH
,,,,,
,,13,12013001,PDF 001 CLR (WARNA-WARNI),BH
,,DUMONT,12013002,PD HD10 BOMBER SS304,BH
,,,,,
,,14,12014001,GT 60L,BH
,,BRABUS,12014002,GT 60,BH
,,,12014003,GT 50L,BH
,,,12014004,GT 50,BH
,,,12014005,GT 40L,BH
,,,12014006,GT 40,BH
,,,,,
,,15,12015001,30L,BH
,,HONA,12015002,30S,BH
