TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,4,1,10401001,H 101 SN/BLK,BH
ACC PINTU,HANDLE TANAM,ALBION,10401002,H 103 SN/BLK,BH
,,,,,
,,2,10402001,GARIS KECIL SN,BH
,,KOTAK,,,
,,,,,
,,3,10403001,6001 M 56 GP,BH
,,MULLER,,,
,,,,,
,,4,10404001,300 KOTAK PIPIH SN,BH
,,OK,10404002,310 OVAL PIPIH SN,BH
,,,10404003,KOTAK OVAL SN,BH
,,,10404004,KOTAK OVAL BLACK,BH
,,,10404005,KOTAK OVAL BESAR AB,BH
,,,10404006,KOTAK TANGGUNG SS,BH
,,,10404007,OVAL TANGGUNG SS,BH
,,,,,
,,5,10405001,FLM 201 C - 65 SN,BH
,,OMGE,10405002,FLM 202 - 90 SN,BH
,,,10405003,FLM 204 C 50 SN,BH
,,,10405004,FLM 204 C 70 SN,BH
,,,10405005,FLM 208 C SN,BH
,,,10405006,FLUSH RING FLM 263 US32D,BH
,,,10405007,CYL 1/2 SISI K784-K + K 784-H + ,SET
,,,,PCM S18.5X10P W/3 RSN,
,,,10405008,CYL 1/2 SISI K725-K + K 725-H + ,SET
,,,,PCM S18.5X10P W/3 RSN,
,,,,,
,,6,10406001,HDL PP 012 AB,BH
,,DEKKSON,10406002,HDL PP 012 MATT BLACK,BH
,,,,,
,,7,10407001,ASBAK KUNO,BH
,,WINA,,,
