TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,16,1,11601001,"DL 629 - 18"" SN",BH
ACC PINTU,GRENDEL TANAM,ALBION,11601002,"SS SOLID ALBION 8"" SN",BH
,,,11601004,"SS SOLID ALBION 18"" SN",BH
,,,11601006,"SS SOLID ALBION 24"" SN",BH
,,,,,
,,2,11602001,B 24 6/10 AC,PS
,,ELT,,,
,,,,,
,,3,11603001,"KNG PLAT 4"" GP",BH
,,MILANO,,,
,,,,,
,,4,11604001,FLUSH BOLT FBM 630 6/12 SN,PS
,,OMGE,11604002,SEMI OTOMATIS FBM 001 FD SN +,SET
,,,,"FBM SQUARE 8"" + BCM 530 US32D",
,,,,(kiri),
,,,11604003,"FBM 630-6"" SN",BH
,,,11604004,SEMI OTOMATIS FBM 001 FD SN +,SET
,,,,"FBM SQUARE 8"" + BCM 530 US32D",
,,,,(kanan),
,,,,,
,,,,,
,,5,11605001,8 / 24 FW SUS 304 SN,PS
,,SES,11605002,8 / 18 FW SS SUS 304,PS
,,,11605003,AK 8-18 AB,PS
,,,11605004,FW 8-12 AB,PS
,,,,,
,,6,11606001,GT 3020 6/12 SN,PS
,,KEMPINSKY,,,
