TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
3,1,1,30101001,"10"" SN",BH
ACC JENDELA,HAK ANGIN,ALBION,,,
,,,,,
,,2,30102001,"101 - 8"" GP",BH
,,BERTOLLI,30102002,"8"" SN",BH
,,,,,
,,3,30103001,HA 1124 - 8 SN (B),BH
,,DOLOMITE,,,
,,,,,
,,4,30104001,"WKL 501 12"" SN",BH
,,MILANO,30104002,"WKL 501 10"" AB",BH
,,,30104003,"WKL 501 10"" SN",BH
,,,30104004,"WKL 501 8"" AB",BH
,,,30104005,"SS WKL 308 8"" US32D (PSG)",BH
,,,30104006,"WKL 501 12"" AB",BH
,,,,,
,,5,30105001,"JUMBO 8"" SN",BH
,,OK,30105002,"KOTAK 6"" SN",BH
,,,30105003,"KOTAK 8"" SN",BH
,,,30105004,"KOTAK 10"" SN",BH
,,,30105005,"BULAT 10"" GP",BH
,,,30105006,"BULAT 10"" SN",BH
,,,30105007,"8"" K 202 SS",BH
,,,30105008,JUMBO AB,BH
,,,30105009,"SEGI 6 8"" SN (B)",BH
,,,30105010,"BULAT 8"" SN (B)",BH
,,,30105011,"KOTAK 8"" SN (B)",BH
,,,30105012,"8"" K 600 SS",BH
,,,,,
,,6,30106001,"8"" SN",BH
,,SES,,,
,,,,,
,,7,30107001,"SS-WKM 304 8"" US32D SQUARE",BH
,,OMGE,30107002,"SS-WKM 305 8"" US32D ROUND",BH
,,,30107003,"SS-WKM 305 6.5"" US32D ROUND",BH
,,,30107004,"SS-WKM 304 6.5"" US32D SQUARE",BH
,,,30107005,"WKM 305 10"" US32D RND",BH
