TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,19,1,11901001,HITAM,BH
ACC PINTU,DOOR STOP,KARET,,,
,,,,,
,,2,11902001,DSM 205 SN,BH
,,OMGE,11902002,DSM 631 SN,BH
,,,11902003,DSM 670 SN,BH
,,,11902004,DSM 670 AB,BH
,,,11902005,DSM 207 SN,BH
,,,11902006,DSM 240-50 US32D BLACK,BH
,,,11902007,DSM 6848 AB,BH
,,,,,
,,3,11903001,565 SN,BH
,,SES,,,
,,,,,
,,4,11904001,L 012 SN,BH
,,STARCK,11904002,006 BLACK DWD,BH
,,,11904003,333 BLACK DWD,BH
,,,11904004,838 BLACK,BH
,,,11904005,838 SUS304SS,BH
,,,,,
,,5,11905001,INJAK 155 SN,BH
,,DAN,,,
,,,,,
,,6,11906001,DS 001 SSS,BH
,,DEKKSON,11906002,DS 019 BULAT KARET,BH
,,,11906003,DS 887 SN,BH
,,,,,
,,7,11907001,INJAK GP,BH
,,MULLER,,,
,,,,,
,,8,11908001,STP 307 AB,BH
,,DUMONT,11908002,STP 308 AB,BH
,,,11908003,STP 309 AB,BH
,,,11908004,STP 306 SSS,BH
,,,,,
,,9,11909001,DS 001 GP,BH
,,ALBION,11909002,DS 001 BR,BH
