TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,10,1,11001001,"12"" PUTIH",PS
ACC PINTU,ENGSEL CASEMENT,ALBION,11001002,"14"" PUTIH",PS
,,,11001003,"16"" PUTIH",PS
,,,11001004,"10"" COKLAT",PS
,,,11001005,"14"" COKLAT",PS
,,,11001006,"2021 - 8"" SN",PS
,,,11001007,"2021 - 10"" SN",PS
,,,11001008,"2021 - 14"" SN",PS
,,,11001009,"SD - 16"" - 2MM SS",PS
,,,11001010,"SD - 20"" - 2,5MM SS",PS
,,,,,
,,2,11002001,"14"" SN",PS
,,DEA,,,
,,,,,
,,3,11003001,"8"" SS",PS
,,INLOCK,11003002,"16"" SS",PS
,,,11003003,"20"" SS",PS
,,,11003004,"24"" SS",PS
,,,,,
,,4,11004001,"10"" KY",PS
,,LINK,11004002,"20"" KY",PS
,,,,,
,,5,11005001,"8"" SS",PS
,,SES,11005002,"8"" GP",PS
,,,11005003,"24"" GP",PS
,,,11005004,"28"" SS",PS
,,,,,
,,6,11006001,"8"" SS",PS
,,WINA,11006002,"12"" SN",PS
,,,,,
,,7,11007001,"20"" SS",PS
,,555,,,
