TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,6,1,10601001,SN/GP,PS
ACC PINTU,RING KUNCI,FERARY,,,
,,,,,
,,2,10602001,BN/GP,PS
,,MULLER,10602002,SG/GP,PS
,,,10602003,GP/BN,PS
,,,,,
,,3,10603001,KOTAK SN,PS
,,OK,10603002,BULAT SN,PS
,,,10603003,KLASIK AB,PS
,,,10603004,BINTIK AB,PS
,,,10603005,BULAT SN/NP,PS
,,,10603006,BULAT BLACK ,PS
,,,10603007,KOTAK BLACK ,PS
,,,,,
,,4,10604001,ECM 08 US32D,PS
,,OMGE,10606002,ECM 05 US32D (004),PS
,,,,,
,,5,10605001,BUNGA AB,PS
,,UKIR,,,
,,,,,
,,6,10606001,BESAR AB,PS
,,OVAL,,,
,,,,,
,,7,10607001,SS,PS
,,DEKKSON,,,
,,,,,
,,8,10608001,ESC S63 AB ,PS
,,DUMONT,10608002,ESC R64 AB,PS
,,,10608003,ESC S79 SN/CP,PS
,,,,,
,,9,10609001,OVAL IRON,PS
,,SAPHIRE,,,
,,,,,
,,10,10610001,OVAL SS,PS
,,KEMPINSKY,,,
,,,,,
,,11,10611001,OVAL SS,PS
,,DEA,,,
,,,,,
,,12,10612001,KOTAK BLACK,PS
,,SILCA,10612002,BULAT BLACK,PS
,,,,,
,,13,10613001,OVAL IRON,PS
,,RAVELLI,,,
,,,,,
,,14,10614001,SS,PS
,,SOLIGEN,,,
,,,,,
,,15,10615001,OVAL GP,PS
,,MOSQUINO,,,
,,,,,
,,16,10616001,SS,PS
,,SSK,,,
