TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,11,1,11101001,H 21 SN,PS
ACC PINTU,ENGSEL PIVOT,EL,,,
,,,,,
,,2,11102001,7 AG US 32 D,PS
,,GMT,11102002,9B,PS
,,,,,
,,3,11103001,DEZ 05,PS
,,NAKANISHI,,,
,,,,,
,,4,11104001,FLOOR PVM 270 US32D,PS
,,OMGE,11104002,PVM G 150 L US 32 D,PS
,,,11104003,PVM G 150 R US 32 D,PS
,,,11104004,PVM 50 Z,PS
,,,11104005,PVM G 50 R ,PS
,,,11104006,PVM 120-30 R,PS
,,,11104007,PVM 120-10 D R,PS
,,,11104008,PVM G 100 L ,PS
,,,11104009,PVM G 100 R ,PS
,,,11104010,PVM 120-20 R,PS
,,,11104011,PVM HD 300 ,PS
,,,11104012,PVM 157-80,PS
,,,11104013,PVM 157-120,PS
,,,,,
,,5,11105001,ADJUST AB,PS
,,OK,11105002,ADJUST SN,PS
,,,11105003,PELOR SN,PS
