TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,5,1,10501001,BIASA 520 - 40MM GP,BH
ACC PINTU,BODY,ALBION,,,
,,,,,
,,2,10502001,BIASA 60 - 111 BP,BH
,,ARCHIE,10502002,BIASA 40 GP,BH
,,,,,
,,3,10503003,BIASA 45MM SN,BH
,,CAVELL,,,
,,,,,
,,4,10504001,BIASA MTS IL DL 8485 40 SSS + CYL 60MM,SET
,,DEKKSON,10504002,BIASA MTS IL DL 8685 SSS + Cyl DC DL 60 MM SN,SET
,,,10504003,BIASA MTS IL DL 8485 MATTBLACK + CYL DC DL 60MM MATTBLACK,SET
,,,10504004,DORONG MTS SLD DL 84100 SSS ,SET
,,,,+ CYL DC DL 60MM SN ,
,,,10504005,PELOR MTS RL DL 8485 SSS + CYL DC DL 60MM SN,SET
,,,10504006,PELOR MTS RL DL 8485 MATT BLACK + CYL DC DL 60MM MATT BLACK,SET
,,,,,
,,5,10505001,BIASA 40MM GP,BH
,,ERGMAN,,,
,,,,,
,,6,10506001,PELOR 40MM GP,BH
,,MOSQUINO,,,
,,,,,
,,7,10507001,BIASA LCM 3885 - 40 SN,BH
,,OMGE,10507002,BIASA LCM 3885 - 50 SN,BH
,,,10507003,BIASA LCM 3885 - 60 SN,BH
,,,10507004,BIASA LCM 3885 - 30 SN,BH
,,,10507005,PELOR  LC 101 - 50 SN,BH
,,,10507006,PELOR  LCM 3821 - 30 SN,BH
,,,10507007,PELOR  LCM 3821 - 50 SN,BH
,,,10507008,PELOR LCM 3821 - 40 SN,BH
,,,10507009,DORONG LCM 3814 - 40 SN,BH
,,,10507010,DORONG LCM 3814 - 50 SN,BH
,,,10507011,DORONG LCM 3848- 50 SN,BH
,,,10507012,DORONG LCM 2847 B US32D,BH
,,,10507013,DORONG LCM 2847 A US33D,BH
,,,10507014,HANDLE DORONG OMGE SDM 902 SN,BH
,,,10507015,HANDLE DORONG OMGE SDM 801 SN,BH
,,,10507016,LCM 3823-55 SN,BH
,,,10507017,LCM 3824-55 SN + CYL PCM S 31 X 31 DBL W/3 RSN,BH
,,,10507018,LCM 3822-55 SN + CYL PCM S 31 X 31 DBL W/3 RSN,BH
,,,10507019,PEM LCM 72-65 SN,BH
,,,,,
,,8,10508001,BIASA 2030 - 50MM AB,BH
,,SES,10508002,BIASA 2030 - 40MM SN,BH
,,,10508003,PELOR 2036 - 40MM SS,BH
,,,10508004,PELOR 2036 - 40MM AB,BH
,,,10508005,PELOR 2036 - 60MM AB,BH
,,,,,
,,9,10509001,BIASA 520-40MM,BH
,,DEA,10509002,BIASA 520-30MM,BH
,,,10509003,PELOR 521-40 M/M,BH
,,,10509004,PELOR 521-30 SS,BH
,,,,,
,,10,10510001,PELOR D171-SS PZ S/S + CYL NEMEF C3131- 6KK SN,SET
,,NEMEF,,,
,,,,,
,,11,10511001,SS015 IRON COMP,BH
,,SAPPHIRE,,,
,,,,,
,,12,10512001,BIASA 40MM INOX 304,BH
,,STARK,10512002,PELOR STA 40MM SS SILV,BH
,,,10512003,PELOR 45MM SS/BLACK,BH
,,,,,
,,13,10513001,BIASA ,BH
,,ELBRUS,,,
,,,,,
,,14,10514001,BIASA,BH
,,LENOX,,,
,,,,,
,,15,10515001,PELOR 7016 SN,BH
,,RAVELLI,,,
,,,,,
,,16,10516001,SS514,BH
,,SOLIGEN,,,
,,,,,
,,17,10517001,7016 SN,BH
,,SSK,,,
,,,,,
,,18,10518001,85X30 SN,BH
,,BELLOCA,,,
