TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
5,1,1,50101001,172MM,BH
ACC MEBEL,TARIKAN,AMARIK,50101002,252MM,BH
,,,50101003,302MM,BH
,,,,,
,,2,50102001,Z 766 -DSN - 160,BH
,,BELONI,50102002,Z 768 -DSN - 128 SN,BH
,,,50102003,Z 768 -DSN - 160 SN,BH
,,,50102004,Z 768 -DSN - 256 SN,BH
,,,,,
,,3,50103001,BULAT ULIR 19CM SN,BH
,,ENOS,,,
,,,,,
,,4,50104001,211 - 96 BN,BH
,,HUBEN,50104002,211 - 96 CHROME,BH
,,,50104003,PIPA 3212 BN 304 - 224 MM,BH
,,,50104004,PIPA 3212 BN 368 - 288 MM,BH
,,,50104005,PIPA 3212 BN 400 - 320 MM,BH
,,,50104006,PIPA 3212 BN 464 - 384 MM,BH
,,,,,
,,5,50105001,619 AB,BH
,,KNOB,50105002,701 AB,BH
,,,50105003,703 AB,BH
,,,50105004,A1,BH
,,,50105008,A2,BH
,,,50105009,1367 (S),BH
,,,50105010,5026 (S),BH
,,,50105011,163 KUKU,BH
,,,,,
,,6,50106001,KNOB M 637 KILAP,BH
,,LIFE,50106002,KNOB M 637 DOF,BH
,,,50106003,KNOB A 3106 L,BH
,,,50106004,KNOB 375 SN,BH
,,,50106005,3227 - 96 SN,BH
,,,50106006,3227 - 128 SN,BH
,,,50106007,202 - 96 SN,BH
,,,50106008,202 - 128 SN,BH
,,,50106009,J 8030 - 96,BH
,,,50106010,J 8030 - 224 SN,BH
,,,50106011,J 8030 - 288 SN,BH
,,,50106012,J 8030 - 320 SN,BH
,,,50106013,8051 - 64 BLACK,BH
,,,50106014,8051 - 96 BLACK,BH
,,,50106015,8051 - 128 BLACK,BH
,,,50106016,8051 - 160 BLACK,BH
,,,50106017,8051 - 192 BLACK,BH
,,,50106018,8051 - 64 WHITE,BH
,,,50106019,8051 - 96 WHITE,BH
,,,50106020,8051 - 128 WHITE,BH
,,,50106021,8051 - 160 WHITE,BH
,,,50106022,8051 - 192 WHITE,BH
,,,50106023,6626 - 64 SILVER,BH
,,,50106024,6626 - 96 SILVER,BH
,,,50106025,6626 - 128 SILVER,BH
,,,50106026,6626 - 160 SILVER,BH
,,,,,
,,7,50107001,UPL 3106 H - 96 ,BH
,,MILANO,50107002,UPL 3106 H - 160,BH
,,,50107003,UPL 3106 H - 192,BH
,,,50107004,UPL 3106 H - 224,BH
,,,50107005,UPL 3106 H - 256 ,BH
,,,50107006,UPL 3106 H - 288,BH
,,,50107007,UPL 3106 H - 320,BH
,,,50107008,UPL 3106 H - 352,BH
,,,50107009,UPL 3106 H - 384,BH
,,,50107010,UPL 3106 H - 416,BH
,,,50107011,UPL 3106 H - 448,BH
,,,50107012,UPL 3106 H - 480 ,BH
,,,50107013,UPL 3106 H - 512,BH
,,,,,
,,8,50108001,CHROME,BH
,,OK,50108002,15 CM SUS 304,BH
,,,50108003,KNOB JAMUR CHROME,BH
,,,50108004,"GBY 02 11,5 CM",BH
,,,50108005,"GBY 21 8,5 CM",BH
,,,50108006,"GBY 41 7,5X7,5 CM",BH
,,,50108007,GBY 42 3X6 CM,BH
,,,50108008,GBY 027 ,BH
,,,,,
,,9,50109001,UPT 2118 H - 96,BH
,,TRUSTY,50109002,UPT 2118 H - 128,BH
,,,50109003,UPT 2118 H - 160,BH
,,,50109004,UPT 2118 H - 192,BH
,,,50109005,UPT 2118 H - 224,BH
,,,50109006,UPT 2118 H - 256,BH
,,,50109007,UPT 2118 H - 288,BH
,,,50109008,UPT 2118 H - 320,BH
,,,50109009,UPT 2118 H - 352,BH
,,,50109010,UPT 2118 H - 384,BH
,,,50109011,UPT 2118 H - 416,BH
,,,50109012,UPT 2118 H - 448,BH
,,,50109013,UPT 2118 H - 480,BH
,,,50109014,UPT 2118 H - 512,BH
,,,50109015,UPT 6470 GP,BH
,,,50109016,UPT 6470 SN,BH
,,,50109017,UPT 6470 AB,BH
,,,50109018,UPT 6622-128 SN,BH
,,,50109019,UPT 6480-64 SN,BH
,,,50109020,UPT 6480-96 SN,BH
,,,,,
,,10,50110001,110 - 120 SGP,BH
,,SES,50110002,110 - 150 LGP,BH
,,,,,
,,11,50111001,20 / 10,BH
,,YJ,50111002,"21,3",BH
,,,,,
,,12,50112001,C 96 SN,BH
,,ZELDA,,,
,,,,,
,,13,50113001,525 - 256,BH
,,,50113002,601 AB 128,BH
,,,50113003,618 AB 128,BH
,,,50113004,618 AB 160,BH
,,,50113005,619 AB 96,BH
,,,50113006,648 - 96,BH
,,,50113007,662 AB 128,BH
,,,50113008,662 AB 160,BH
,,,50113009,711 AB 96,BH
,,,50113010,711 AB 128,BH
,,,50113011,1998 - 64,BH
,,,50113012,1998 - 96 SN,BH
,,,50113013,1998 - 128,BH
,,,50113014,2319 - 96,BH
,,,50113015,2319 - 128,BH
,,,50113016,2319 - 160 SN,BH
,,,,,
,,14,50114001,OVAL FH H603 10X20X105MM,BH
,,HAMPTON,50114002,OVAL FH H603 10X20X138MM,BH
,,,50114003,OVAL FH H603 10X20X202MM,BH
,,,50114004,OVAL FH H603 10X20X330MM,BH
,,,,,
,,15,50115001,UPC 6707-96 ABB,BH
,,LECCO,50115002,UPL 6708-96 SN,BH
,,,50115003,UPL 6708-96 ABB,BH
,,,,,
,,16,50116001,178 M SN/ KECIL SILVER,BH
,,SILCA,50116002,178 CH (M)/ KECIL CHROME,BH
,,,50116003,178 CH (L)/ BESAR CHROME,BH
,,,50116004,PLAT BLACK,BH
,,,50116005,003 BLACK,BH
,,,50116006,005 BLACK,BH
,,,50116007,048 SN,BH
,,,50116008,048 BLACK,BH
,,,50116009,032 SN,BH
,,,50116010,032 BLACK,BH
,,,,,
,,17,50117001,Z 2266 96 SN CH,BH
,,ALBION,50117002,Z 2266 128 SN CH,BH
,,,50117003,Z 2266 160 SN CH,BH
,,,,,
,,18,50118001,64 MM CC BLACK CTD,BH
,,STARCK,50118002,96 MM CC BLACK CTD,BH
,,,50118003,128 MM CC BLACK CTD,BH
,,,50118004,160 MM CC BLACK CTD,BH
,,,50118005,192 MM CC BLACK CTD,BH
,,,50118006,288 MM CC BLACK CTD,BH
,,,50118007,320 MM CC BLACK CTD,BH
,,,50118008,64 MM CC BLACK SQR,BH
,,,50118009,96 MM CC BLACK SQR,BH
,,,50118010,128 MM CC BLACK SQR,BH
,,,50118011,160 MM CC BLACK SQR,BH
,,,50118012,192 MM CC BLACK SQR,BH
,,,50118013,224 MM CC BLACK SQR,BH
