TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
8,1,1,80101001,"REL ATAS UK: 2,9 M",BH
KOMPONEN,W600,WINA,80101002,"REL ATAS UK: 2,3 M",BH
,,,80101003,"REL ATAS UK: 1,45 M",BH
,,,80101004,REL BAWAH UK: 3 M,BH
,,,80101005,"REL BAWAH UK: 2,4 M",BH
,,,80101006,"REL BAWAH UK: 1,5 M",BH
,,,80101007,"REL BAWAH UK: 1,2 M",BH
,,,80101008,"REL TIKUNG ""R"" 60/SET",BH
,,,80101009,"RODA ATAS TENGAH ""RD""4""L""",BH
,,,80101010,"RODA ATAS TENGAH ""RD""4",BH
,,,80101011,"RODA ATAS TENGAH ""L""",BH
,,,80101012,RODA ATAS TENGAH ,BH
,,,80101013,RODA BAWAH TENGAH,BH
,,,80101014,ENGSEL TENGAH,BH
,,,80101015,"RODA ATAS LIPAT TENGAH ""RD""4",BH
,,,80101016,"RODA ATAS LIPAT TENGAH ""RD""2",BH
,,,80101017,RODA BAWAH LIPAT TENGAH,BH
,,,80101018,"RODA ATAS PINGGIR ""L""",BH
,,,80101019,RODA ATAS PINGGIR ,BH
,,,80101020,RODA BAWAH PINGGIR ,BH
,,,80101021,"RODA ATAS LIPAT PINGGIR ""RD""4",BH
,,,80101022,"RODA ATAS LIPAT PINGGIR ""RD""2",BH
,,,80101023,RODA BAWAH LIPAT PINGGIR,BH
,,,80101024,ENGSEL KUPU-KUPU,BH
,,,80101025,BRECKET SAMPING,BH
,,,80101026,BRECKET SAMBUNG,BH
,,,80101027,BRECKET GANTUNG,BH
,,,80101028,STOPPER + TUTUP,BH
,,,80101029,HANDLE NCB/MINIMALIS,BH
,,,80101030,HANDLE PC,BH
,,,80101031,HANDLE ASBAK,BH
,,,80101032,GRENDEL TANAM BERODA,BH
,,,80101033,GRENDEL TANAM BIASA,BH
,,,80101034,GRENDEL TANAM UK: 75 CM,BH
,,,80101035,GRENDEL TANAM UK: 100 CM,BH
,,,80101036,BAUT BRECKET,BH
,,,,,
,2,1,80201001,"REL ATAS UK: 2,9 M",BH
,W300,WINA,80201002,"REL ATAS UK: 2,3 M",BH
,,,80201003,"REL ATAS UK: 1,45 M",BH
,,,80201004,"REL TIKUNG ""R"" 30/SET",BH
,,,80201005,"RODA ATAS TENGAH ""RD""4""L""",BH
,,,80201006,"RODA ATAS TENGAH ""RD""4",BH
,,,80201007,"RODA ATAS TENGAH ""L""",BH
,,,80201008,RODA ATAS TENGAH ,BH
,,,80201009,RODA BAWAH TENGAH,BH
,,,80201010,ENGSEL TENGAH,BH
,,,80201011,"RODA ATAS LIPAT TENGAH ""RD""4",BH
,,,80201012,"RODA ATAS LIPAT TENGAH ""RD""2",BH
,,,80201013,RODA BAWAH LIPAT TENGAH,BH
,,,80201014,"RODA ATAS PINGGIR ""L""",BH
,,,80201015,RODA ATAS PINGGIR ,BH
,,,80201016,RODA BAWAH PINGGIR ,BH
,,,80201017,"RODA ATAS LIPAT PINGGIR ""RD""4",BH
,,,80201018,"RODA ATAS LIPAT PINGGIR ""RD""2",BH
,,,80201019,RODA BAWAH LIPAT PINGGIR,BH
,,,80201020,BRECKET SAMPING,BH
,,,80201021,BRECKET GANTUNG,BH
,,,80201022,STOPPER SLIDING,BH
,,,80201023,GRENDEL TANAM BERODA,BH
,,,80201024,GRENDEL TANAM BIASA,BH
,,,80201025,GRENDEL TANAM UK: 75 CM,BH
,,,80201026,GRENDEL TANAM UK: 100 CM,BH
,,,,,
,3,1,80301001,"REL ATAS UK: 2,9 M",BH
,S-50,SS,80301002,"REL ATAS UK: 2,3 M",BH
,,,80301003,"REL ATAS UK: 1,45 M",BH
,,,80301004,REL BAWAH UK: 3 M,BH
,,,80301005,"REL BAWAH UK: 2,4 M",BH
,,,80301006,"REL BAWAH UK: 1,5 M",BH
,,,80301007,"REL BAWAH UK: 1,2 M",BH
,,,80301008,"REL TIKUNG ""R"" 60/SET",BH
,,,80301009,"RODA ATAS TENGAH ""RD""4",BH
,,,80301010,"RODA ATAS TENGAH ""L""",BH
,,,80301011,RODA ATAS TENGAH ,BH
,,,80301012,RODA BAWAH TENGAH,BH
,,,80301013,ENGSEL TENGAH,BH
,,,80301014,"RODA ATAS LIPAT TENGAH ""RD""4",BH
,,,80301015,"RODA ATAS LIPAT TENGAH ""RD""2",BH
,,,80301016,RODA BAWAH LIPAT TENGAH,BH
,,,80301017,"RODA ATAS PINGGIR ""L""",BH
,,,80301018,RODA ATAS PINGGIR ,BH
,,,80301019,RODA BAWAH PINGGIR ,BH
,,,80301020,"RODA ATAS LIPAT PINGGIR ""RD""4",BH
,,,80301021,"RODA ATAS LIPAT PINGGIR ""RD""2",BH
,,,80301022,RODA BAWAH LIPAT PINGGIR,BH
,,,80301023,BRECKET SAMPING,BH
,,,80301024,BRECKET SAMBUNG,BH
,,,80301025,BRECKET GANTUNG,BH
,,,80301026,STOPPER + TUTUP,BH
,,,80301027,HANDLE PC,BH
,,,80301028,HANDLE ASBAK,BH
,,,80301029,GRENDEL TANAM BERODA,BH
,,,80301030,GRENDEL TANAM BIASA,BH
,,,80301031,GRENDEL TANAM UK: 75 CM,BH
,,,80301032,GRENDEL TANAM UK: 100 CM,BH
,,,,,
,4,1,80402001,"REL ATAS UK: 2,9 M",BH
,S-50,SS,80402002,"REL ATAS UK: 2,3 M",BH
,,,80402003,"REL ATAS UK: 1,45 M",BH
,,,80402004,"REL TIKUNG ""R"" 30/SET",BH
,,,80402005,"RODA ATAS TENGAH ""RD""4",BH
,,,80402006,"RODA ATAS TENGAH ""L""",BH
,,,80402007,RODA ATAS TENGAH ,BH
,,,80402008,RODA BAWAH TENGAH,BH
,,,80402009,ENGSEL TENGAH,BH
,,,80402010,"RODA ATAS LIPAT TENGAH ""RD""4",BH
,,,80402011,"RODA ATAS LIPAT TENGAH ""RD""2",BH
,,,80402012,RODA BAWAH LIPAT TENGAH,BH
,,,80402013,"RODA ATAS PINGGIR ""L""",BH
,,,80402014,RODA ATAS PINGGIR ,BH
,,,80402015,RODA BAWAH PINGGIR ,BH
,,,80402016,"RODA ATAS LIPAT PINGGIR ""RD""4",BH
,,,80402017,"RODA ATAS LIPAT PINGGIR ""RD""2",BH
,,,80402018,RODA BAWAH LIPAT PINGGIR,BH
,,,80402019,BRECKET SAMPING,BH
,,,80402020,BRECKET GANTUNG,BH
,,,80402021,STOPPER SLIDING,BH
