TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,9,1,10901001,3X2.5X3 2BB SS CASTING,PS
ACC PINTU,ENGSEL,ALBION,10901002,3X2.5X2.8 2BB FHP GP,PS
,,,10901003,5X3X4 2BB SS CASTING,PS
,,,,,
,,2,10902001,4X3X3 4BB SN,PS
,,CAVELL,10902002,4X3X2 4BB SN PIN,PS
,,,,,
,,3,10903001,5X3X3 PCP/GP,PS
,,CHANNEL,,,
,,,,,
,,4,10904001,NRP ESS 316 4X3X4 4BB SSS,PS
,,DEKKSON,10904002,NRP ESS DL 4X3X3 2BB SSS,PS
,,,,,
,,5,10905001,4X3X2 4BB SN,PS
,,F&F,,,
,,,,,
,,6,10906001,4X3X2.5 DBH SN,PS
,,GERBER,10906002,GTA 6X3X3 SS PIN,PS
,,,,,
,,7,10907001,6602 4X3X3 4BB SN,PS
,,IHS,,,
,,,,,
,,8,10908001,BHL UQ 3X2.5X2 2BB,PS
,,MILANO,10908002,BHL UQ 4X3X3 4BB,PS
,,,10908003,BHL UQ 5X3X3 4BB SS,PS
,,,10908004,"SS TIPIS MILANO BHL 2""",PS
,,,10908005,"SS TIPIS MILANO BHL 2.5""",PS
,,,10908006,"SS TIPIS MILANO BHL 3""",PS
,,,,,
,,9,10909001,SELF CLOSING SS BHM 4X3X2 R,PS
,,OMGE,10909002,SELF CLOSING SS BHM 4X3X2 L,PS
,,,10909003,BHM EQ 4X3X3 2BB SS,PS
,,,10909004,BHM EQ 4X3X3 4BB SS,PS
,,,10909005,BHM EQ 5X3X3 2BB SS,PS
,,,10909006,BHM HQ 4X3X2 2BB SS,PS
,,,10909007,BHM HQ 5X3X3 4BB  W/SS,PS
,,,10909008,SS BHM EQ 4X3X2 2BB US32D,PS
,,,10909009,SS BHM EQ 4X3X3 2BB NP-SP,PS
,,,10909010,SS BHM HQ 3X2.5X2 2BB US32D,PS
,,,,,
,,10,10910001,4X3X3.5 4BB SS,PS
,,SES,10910002,3X2.5 K,PS
,,,10910003,3X2.5X3.5 2BB AB,PS
,,,10910004,4X3X3.5 4BB AB,PS
,,,10910005,5X3X3.5 4BB AB,PS
,,,10910006,5X3X3.5 4BB SS,PS
,,,,,
,,11,10911001,ESD46 SSS 4X3X3 4BB AB,PS
,,DUMONT,10911002,ESD36 3X2.5X2.2 MM 2BB AB,PS
,,,,,
,,12,10912001,6X3.5X4,PS
,,STARK,10912002,3X2.5X2.5 BLACK,PS
,,,10912003,4X3X3 BLACK,PS
,,,10912004,5X3X3 BLACK,PS
,,,10912005,6X4X4 SAFT SS,PS
,,,,,
,,13,10913001,3X2.5X2 SS,PS
,,EMBASSY,,,
,,,,,
,,14,10914001,3X2.5X2.5 SN (B),PS
,,TJ,,,
,,,,,
,,15,10915001,PIANO,PS
,,EXITO,,,
,,,,,
,,16,10916001,4X3X2 SS,PS
,,SILCA,10916002,4X3X3 SS,PS
,,,,,
,,17,10917001,4X3X3 SS,PS
,,DEA,10917002,5X3X3 SS,PS
,,,10917003,3x2.5x2.5 SS,PS
,,,,,
,,18,10918001,"3"" SN (B)",PS
,,VNZ,10918002,"4"" SN (B)",PS
,,,,,
,,19,10919001,"4"" SN (B)",PS
,,SEVILLA,,,
,,,,,
,,20,10920001,"5"" SN (B)",PS
,,VENETIAN,,,
