TYPE,,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
7,,1,1,70101001,8131 100 MINI,BH
SANITAIR,CAMPUR,KRAN TAMAN,BEAUFORT,70101002,8131 140 ,BH
,,,,,,
,,,2,70102001,BULAT BIRU DB T3044 ,BH
,,,LIVANO,,,
,,,,,,
,,2,1,70201001,8120 110,BH
,,KRAN TEMBOK,BEAUFORT,70201002,304 110 SS,BH
,,,,,,
,,,2,70202001,ENGKOL BODY PNJG P006,BH
,,,LIVANO,70202002,LONG TS 130 SS,BH
,,,,,,
,,3,1,70301001,KX 82206,BH
,,KRAN WASTAFEL,SOLIGEN,70301002,KX 82205,BH
,,,,,,
,,,2,70302001,JUMBO UP DOWN 198,BH
,,,,,,
,,,3,70303001,8131 300,BH
,,,BEUFORT,,,
,,,,,,
,,,4,70304001,STAINLESS TINGGI DB 1833,BH
,,,LIVANO,,,
,,,,,,
,,4,1,70401001,210,BH
,,KRAN BATHUP,SOLIGEN,,,
,,,,,,
,,,2,70402001,18001,BH
,,,BRACHIO,,,
,,,,,,
,,5,1,70501001,TANAM 7025,BH
,,KRAN SHOWER,SOLIGEN,,,
,,,,,,
,,6,1,70601001,8131 500,BH
,,KRAN ANGSA,BEAUFORT,70601002,8131 530,BH
,,,,70601003,8131 550,BH
,,,,,,
,,,2,70602001,SS505,BH
,,,SOLIGEN,,,
,,,,,,
,,,3,70603001,SINK TEMBOK PIPA STAINLESS 304-16 ,BH
,,,LIVANO,70603002,SINK MEJA PIPA K007IX ,BH
,,,,70603003,SINK MEJA STAINLESS FLEXIBLE 304-17,BH
,,,,70603004,SINK MEJA FLEXIBLE ENGKEL 4500 ,BH
,,,,,,
,,7,1,70701001,6020,BH
,,KRAN CABANG,,,,
,,,2,70702001,615,BH
,,,SOLIGEN,70702002,505,BH
,,,,,,
,,,3,70703001,STAINLESS 304-25,BH
,,,LIVANO,,,
,,,,,,
,,8,1,70801001,8131 170,BH
,,STOP KRAN,BEAUFORT,70801002,304 170 SS,BH
,,,,,,
,,,2,70802001,TANAM PANAS DINGIN LIVANO 306,BH
,,,LIVANO,,,
,,,,,,
,,9,1,70901001,STAINLESS 523,BH
,,STOP KRAN TEE,LIVANO,,,
,,,,,,
,,9,1,70901001,MN 359 PP,BH
,,RAK SUDUT,BEAUFORT,70901002,MN 363 PP (PANJANG),BH
,,,,,,
,,10,1,71001001,SQ 5247 (PANJANG),BH
,,RAK HOLDER,BEAUFORT,,,
,,,,,,
,,11,1,71101001,CHO 8051150 (1.5M),BH
,,FLEXIBEL SHOWER,BEAUFORT,71101002,CHO 8082150 (1.5M),BH
,,,,,,
,,12,1,71201001,SYT 306/400MM,BH
,,FLEXIBEL ANYAM,BEAUFORT,71201002,SYT 252/400MM,BH
,,,,71201003,SYT 463/400MM,BH
,,,,,,
,,13,1,71301001,SGK 311 KUNINGAN,BH
,,SARINGAN GOT,BEAUFORT,71301002,SGK 1 912 SS,BH
,,,,,,
,,,2,71302001,E0271010 SS,BH
,,,LIVANO,,,
,,,,,,
,,14,1,71401001,CHO 9325 218,BH
,,SHOWER BIDET,BEAUFORT,,,
,,,,,,
,,15,1,71501001,4 KAIT STA SS 304,BH
,,GANTUNGAN/KAPSTOK,STARCK,71501002,6 KAIT STA SS 304,BH
,,,,,,
,,,2,71502001,006 SS,BH
,,,ALBION,,,
,,,,,,
,,,3,71503001,4 KAIT BJ 009 04,BH
,,,BEAUFORT,71503002,5 KAIT BJ 001 05,BH
,,,,,,
,,16,1,71601001,LIPAT YH050 600,BH
,,RAK HANDUK,BEAUFORT,,,
,,,,,,
,,17,1,71701001,150,BH
,,HANDSHOWER,SOLIGEN,71701002,173,BH
,,,,,,
,,,2,71702001,KOTAK NO17,BH
,,,LIVANO,,,
,,,,,,
,,,3,71703001,,BH
,,,XANA,,,
,,,,,,
,,18,1,71801001,"3""",BH
,,SARINGAN TALANG,,71801002,"4""",BH
,,,,,,
,,19,1,71901001,CAIR SINGLE,BH
,,TEMPAT SABUN,SOLIGEN,,,
,,,,,,
,,20,1,72001001,ANGSA ,BH
,,SIFON,SOLIGEN,,,
,,,,,,
,,21,1,72101001,DB 926/DB 1108,BH
,,SHOWER TIANG,,,,
,,,,,,
,,22,1,72201001,173,BH
,,SHOWER TEMBOK,SOLIGEN,,,
,,,,,,
,,,2,72202001,"BULAT 8"" DB 1108",BH
,,,LIVANO,72202002,"KOTAK 8"" STAINLESS DB1107",BH
,,,,,,
,,23,1,72301001,"3""",BH
,,CLEAN OUT,,72301002,"4""",BH
,,,,,,
,,24,1,72401001,A237-1 CHROME,BH
,,JET SHOWER,SOLIGEN,,,
