TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,8,1,10801001,BULAT 8000 PB,BH
ACC PINTU,KUNCI WC,ALPHA,,,
,,,,,
,,2,10802001,KUNCI INDIKATOR YAC 11 GP,BH
,,CHANNEL,,,
,,,,,
,,3,10803001,TOILET INDICOTING BOLT SS,BH
,,CHETI,,,
,,,,,
,,4,10804001,BULAT CLM 5375 - 60 SR (KUNCI-POLOS),BH
,,OMGE,10804002,BULAT CLM 5375 - 60 CN (POLOS-POLOS),BH
,,,10804003,BULAT CLM 5375 - 60 EX (KUNCI-POLOS),BH
,,,10804004,BULAT CLM 5375 - 60 PR (TOMBOL-PUTAR),BH
,,,,,
,,5,10805001,DOOR BOLT 11 SA SN,BH
,,OT,,,
,,,,,
,,6,10806001,BULAT 5881 SS ,BH
,,SECMA,,,
,,,,,
,,7,10807001,BT 01 SN,BH
,,SES,,,
,,,,,
,,8,10808001,BULAT 5132 / 5122 VCA US32D,BH
,,YALE,,,
,,,,,
,,9,10809001,38 - 5 S/S,BH
,,,,,
,,10,10810001,BULAT 987 BK,BH
,,DEA,10810002,BULAT 987 ET,BH
