TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
9,1,1,90101001,VENICE,BH
PINTU,HDF SKIN,WOOD ONE,90101002,COMO,BH
,,,90101003,MILANO,BH
,,,90101004,GENOA,BH
,,,90101005,RAVENA,BH
,,,90101006,ROMA,BH
,,,90101007,MODENA,BH
,,,90101008,TRENTO,BH
,,,,,
,2,1,90201001,UBUD,BH
,INDONESIAN,WOOD ONE,90201002,SANUR,BH
,,,,,
,3,1,90301001,MALAGA,BH
,NYATOH,WOOD ONE,90301002,VALENCIA,BH
,,,90301003,VALENCIA - KM,BH
,,,,,
,4,1,90401001,OSLO ,BH
,DUCO WHITE,WOOD ONE,90401002,LIVERPOOL,BH
,,,90401003,LIVERPOOL - KM,BH
,,,,,
,5,1,90501001,WESTWOOD,BH
,WHITE OAK,WOOD ONE,90501002,BOSTON,BH
,,,,,
,6,1,90601001,KNSB 100-720/820,BH
,DOOR FRAME,WOOD ONE,90601002,KDPW 100-720/820,BH
,,,90601003,KORS 100-720/820,BH
,,,90601004,KNSB 130-720/820,BH
,,,90601005,KDPW 130-720/820,BH
,,,90601006,KORS 130-720/820,BH
,,,,,
,7,1,90701001,ANSB 30-720/820,BH
,ARCHITRAVE,WOOD ONE,90701002,ADPW 30-720/820,BH
,,,90701003,AORS 30-720/820,BH
