TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,3,1,10301001,PGWH XMA 7024 B SS,PS
ACC PINTU,PULL HANDLE,ALMA,10301002,PGWH/LG A 7024 B SS,PS
,,,10301003,PGWH XMA 7024 DSS,PS
,,,10301004,PGWH XMA 7033 BSS,PS
,,,10301005,PGWH/LG A 7033 BSS,PS
,,,10301006,PGWH XMA 7033 DSS,PS
,,,10301007,PGWH/LG A 7033 DSS,PS
,,,10301008,PGWH/L100 A 7088 DSS ,PS
,,,,,
,,2,10302001,SS 235-450 SS,PS
,,BERTOLLI,,,
,,,,,
,,3,10303001,DELUXE SQ PHDL 802 (30X15X600) SSS,PS
,,DEKKSON,10303002,PHAP 25801 A SN,PS
,,,10303003,DELUXE 802 32X457X350 PSS/SSS,PS
,,,10303004,VNT PH2 V5511 FFX295X240 MAB,PS
,,,10303005,PHZ V5569 25X390X250 MAB,PS
,,,10303006,VNT DKA V81571 150X150X34.2 MAB,PS
,,,10303007,VNT DKA V81590 150X150X29 MAB,PS
,,,10303008,PHZ V5579L 32X820X600 MAB,PS
,,,10303009,PHZ V55193 35X800X675 MAB,PS
,,,10303010,PHZ V55177 32X595X410 MAB,PS
,,,10303011,PHZ V55180 FFX445X400 MAB,PS
,,,10303012,PHA D389 FFX378X346 MATT BLACK,PS
,,,10303013,PHZ VKH06 FFX466X314 MAB,PS
,,,,,
,,4,10304001,P06.01 AB 40X350MM,PS
,,DUMONT,10304002,P06.33 AB 420MM,PS
,,,10304003,P06.35 AB 420MM,PS
,,,10304004,P06.37 AB 420MM,PS
,,,10304005,P06.40 AB 420MM,PS
,,,10304006,P06.01 AB 40X600 MM,PS
,,,10304007,P06.30 AB 460 MM,PS
,,,10304008,P06.18 AB 1000 MM(OK),PS
,,,10304009,P07.55 SSS + PSS 350 MM,PS
,,,10304010,P07.60 SSS + PSS 350 MM,PS
,,,10304011,P07.57 SSS + PSS 350 MM,PS
,,,10304012,P07.59 SSS + PSSS 350 MM,PS
,,,10304013,P06.09 AB 345 MM,PS
,,,10304014,P06.17 AB 300 MM,PS
,,,10304015,P06.36 AB 420 MM,PS
,,,10304016,P06.19 AB 1200 MM,PS
,,,10304017,PR 08.26 AB 60 CM,PS
,,,10304018,PR 08.26 AB 100 CM,PS
,,,10304019,P07.58 SSS+PSS 350MM,PS
,,,10304020,P07.61 SSS+PSS 350MM,PS
,,,10304021,P07.63 SSS+PSS 350MM,PS
,,,10304022,P02.01 PSS+SSS 350MM,PS
,,,10304023,PR 08.27 AB 60 CM,PS
,,,10304024,P 07.27 SSS+PSS 600MM,PS
,,,10304025,P 07.09 SSS+PSS 450MM,PS
,,,10304026,P 15.27 SS+WOOD 60CM,PS
,,,10304027,P 15.27 SS+WOOD 45CM,PS
,,,,,
,,5,10305001,MJA 1025-45MM,PS
,,GERBER,,,
,,,,,
,,6,10306001,45CM SN,PS
,,KACA,,,
,,,,,
,,7,10307001,KPK A 02.350MM SSS,PS
,,KEMPINSKY,10307002,P 025-30 CM,PS
,,,,,
,,8,10308001,FM 76-1500MM SN,PS
,,MAVERIK,,,
,,,,,
,,9,10309001,550 KY 350,PS
,,OK,10309002,550 KY 800,PS
,,,10309003,550 KY 1000,PS
,,,10309004,722 60CM BT SN,PS
,,,10309005,804 60CM SN,PS
,,,10309006,807 80CM SN,PS
,,,10309007,807 100CM SN,PS
,,,10309008,PUSH PULL SN,PS
,,,10309009,HD 702 P60CM SN,PS
,,,10309010,HD 703 P45CM SN,PS
,,,10309011,HD 708 P120CM SS,PS
,,,10309012,HD GT 8700 P45CM SS,PS
,,,10309013,HD GT 8700 P60CM SS,PS
,,,10309014,KAYU 669 45CM OVAL,PS
,,,10309015,KAYU 669 80CM OVAL,PS
,,,10309016,711-35CM SS/KY,PS
,,,10309017,808-45CM SERAT KAYU,PS
,,,10309018,808-60CM SERAT KAYU,PS
,,,10309019,MADEWA AB,PS
,,,10309020,27 S BLACK 45 CM,PS
,,,10309021,27 S BLACK 60 CM,PS
,,,10309022,27 S BLACK 100 CM,PS
,,,10309023,27 S WHITE 35 CM,PS
,,,10309024,27 S WHITE 45 CM,PS
,,,10309025,27 S WHITE 60 CM,PS
,,,10309026,27 S WHITE 80 CM,PS
,,,10309027,27 S WHITE 100 CM,PS
,,,10309028,DSQ 802,PS
,,,10309029,HD 799 SP SS/CP P.350,PS
,,,10309030,HD 799 SP SS/CP 450,PS
,,,10309031,HD 799 SP SS/CP 600,PS
,,,10309032,HD 708 NS SS/CP 600,PS
,,,10309033,HD 708 NS SS/CP 450,PS
,,,10309034,HD 707 COMBO BLACK / AB 350,PS
,,,10309035,HD 707 COMBO BLACK / AB 450,PS
,,,10309036,HD 707 COMBO BLACK / AB 600,PS
,,,10309037,HD SAPHIRA 799 SP SS / KY 350,PS
,,,10309038,HD SAPHIRA 799 SP SS / KY 450,PS
,,,10309039,HD SAPHIRA 799 SP SS / KY 600,PS
,,,10309040,HD 707 COMBO BLACK / AB 800,PS
,,,10309041,HD 707 COMBO BLACK / AB 1000,PS
,,,10309042,PR 08.12 AB M 42 CM (Dumont),PS
,,,10309043,4X2-50X35 SS,PS
,,,10309044,32-50X35 SS,PS
,,,10309045,HD MAHKOTA P800MM,PS
,,,10309046,HD MAHKOTA P600MM,PS
,,,10309047,HD 805 SS BLACK 1000MM,PS
,,,10309048,HD 805 SS BLACK 800MM,PS
,,,10309049,HD 805 SS BLACK 600MM,PS
,,,10309050,HD 805 SS BLACK 450MM,PS
,,,10309051,HD 669 OVAL 60CM KY,PS
,,,,,
,,10,10310001,PULL+PUSH PLATE ,PS
,,OMGE,,PPM-518L (1) SN,
,,,10310002,PHM 2560 P-CC ,PS
,,,,500 L800 US32D,
,,,10310003,PUSH PULL 2588 D19 SN,PS
,,,10310004,GHM 6051 SN,PS
,,,10310005,GHM 6051 AB,PS
,,,10310006,PHM 2595 P CC 400 L600 US32DJ,PS
,,,,,
,,11,10311001,GIOVANI 80CM AB,PS
,,RDS,10311002,THALIA 80CM AB,PS
,,,10311003,THEODORE 80CM AB,PS
,,,,,
,,12,10312001,PHD 187 BSN/BNP,PS
,,SES,10312002,PHD 188 BSN/BNP,PS
,,,10312003,AA 215 SN,PS
,,,10312004,232.500 SSS,PS
,,,10312005,MP L 1201 F 25X350 SS,PS
,,,10312006,812 BSN,PS
,,,10312007,180-500 MM EAB,PS
,,,10312008,235-350 SS,PS
,,,10312009,202-350 SS,PS
,,,10312010,CHIPH 061 30-15-350 1.2MM,PS
,,,,,
,,13,10313001,AD 212-450 SS,PS
,,STARCK,10313002,MP 212-600 SP,PS
,,,10313003,S 421 450MM SS,PS
,,,10313004,S 421 600MM SS,PS
,,,10313005,421-450 MM PS/SS,PS
,,,10313006,421-600 MM PS/SS,PS
,,,10313007,277-450 MM OV PSS,PS
,,,10313008,277-600 MM OV PSS,PS
,,,10313009,104-600 MM 38M PSS,PS
,,,10313010,104-450 MM PSS,PS
,,,10313011,277-450 MM BLACK,PS
,,,10313012,1611-450MM PS/SS,PS
,,,10313013,1011-450MM PS/SS,PS
,,,10313014,156-450MM PS/SS,PS
,,,10313015,212B-450MM PS/SS,PS
,,,10313016,156-600MM PS/SS,PS
,,,10313017,212B-600MM PS/SS,PS
,,,,,
,,14,10314001,TB 550 AB XXL,PS
,,VALENCIA,,,
,,,,,
,,15,10315001,7801-46 SN,PS
,,VANESA,,,
,,,,,
,,16,10316001,376-35CM SULING OVAL,PS
,,,10316002,384-45,PS
,,,,,
,,17,10317001,2356-256 SN,PS
,,CASANELLI,10317002,2239-500 SN,PS
,,,,,
,,18,10318001,3212-600,PS
,,CLAVIS,,,
,,,,,
,,19,10319001,3011P-33 CD,PS
,,TP WILSON,10319002,3012P-33 CD,PS
,,,10319003,3060F - 60CD,PS
,,,,,
,,20,10320001,SIL 004 PSS 350MM,PS
,,SILCA,10320002,SIL 005 PSS 350MM,PS
,,,,,
,,21,10321001,015,PS
,,NISHAN,10321002,016,PS
,,,,,
,,22,10322001,STA 001-35 SS/SP,PS
,,GRUPPO,10322002,005-350MM PSS,PS
