TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN,
3,3,1,30301001,ALUMINIUM C8611 (L) BROWN,BH,
ACC JENDELA,RAMBUNCIS,ALPHA,30301002,ALUMINIUM C8611 (L) BLACK,BH,
,,,30301003,ALUMINIUM C8611 (R) SILVER,BH,
,,,30301004,ALUMINIUM C8611 (L) SILVER,BH,
,,,,,,
,,2,30302001,ALUMINIUM LOCK 426 L YBIC,BH,
,,DEKKSON,30302002,ALUMINIUM CH 429 LOCK R/H WH,BH,
,,,30302003,ALUMINIUM CH 423 L/H YBIC,BH,
,,,30302004,ALUMINIUM CH 423 LHW,BH,
,,,30302005,ALUMINIUM CHW 4 L/H NA,BH, 
,,,30302006,ALUMINIUM CH 400 NA,BH,
,,,,,,
,,3,30303001,KUPING PUTIH,BH,
,,DHS,,,,
,,,,,,
,,4,30304001,,BH,
,,MAGNIFICO,,,,
,,,,,,
,,5,30305001,BULAT SN,BH,
,,OK,30305002,SN,BH,
,,,30305003,BESAR TIMBUL SN ZD 405,BH,
,,,30305004,Z OVAL AB,BH,
,,,30305005,Z OVAL AB + KOMBINASI,BH,
,,,30305006,ZD 405 SN,BH,
,,,,,,
,,6,30306001,"ALUMINIUM WFM 8281 ""L"" DBR",BH,
,,OMGE,30306002,"ALUMINIUM WFM 8281 ""L"" WHITE",BH,
,,,30306003,"ALUMINIUM WFM 8281 ""L"" SILVER",BH,
,,,30306004,"ALUMINIUM WFM 8281 ""R"" SILVER",BH,
,,,,,,
,,7,30307001,WB 14 SS,BH,
,,SES,30307002,WB 13 SS,BH,
