TYPE,CODE TYPE,MERK,BARCODE,NAMA BARANG,STN
1,7,1,10701001,SN,BH
ACC PINTU,CYLINDER,ALBION,10701002,GP,BH
,,,,,
,,2,10702001,CYL DC KK DL 70MM BLACK,BH
,,DEKKSON,10702002,CYL DC DL 66MM AB,BH
,,,10702003,CYL TC DL 66MM AB,BH
,,,10702004,CYL DC DL 60MM SN,BH
,,,10702005,CYL DC DL 60MM MATT BLACK,BH
,,,10702006,CYL TC DL 60MM MATT BLACK,BH
,,,10702007,CYL TC KK DL 70MM BLACK,BH
,,,,,
,,3,10703001,1/2 SISI PCM S 31X10 W/3 RSN,BH
,,OMGE,10703002,PCM S 31X31 DBL W/3 RSN,BH
,,,10703003,PCM D 60X60 DBL W/5 RSN,BH
,,,10703004,PUTAR KOIN PCM 35X35 K01 W/0 RSN,BH
,,,10703005,PUTAR KUNCI PCM D(10) 35X35 K01 W/5 RSN,BH
,,,10703006,PUTAR KUNCI PCM S 31X31 K01 W/3 RSN,BH
,,,10703007,PUTAR KOIN PCM 31X31 K01 W/0 RSN,BH
,,,10703008,PCM D 40X40 DBL W/5 SN,BH
,,,10703009,PCM D 35X35 DBL W/5 RSN,BH
,,,10703010,PCM D 31X31 K01 W/5 RSN,BH
,,,10703011,PCM D 40X40 K01 W/5 RSN,BH
,,,10703012,PCM D 35X35 K01 W/5 RSN,BH
,,,10703013,PCM D 50X50 K01 W/5 RSN,BH
,,,10703014,PCM D 50X50 DBL W/5 RSN,BH
,,,10703015,PCM D 31X31 DBL W/5 RSN,BH
,,,,,
,,4,10704001,PTR S31X31 K17 AB,BH
,,RAFES,,,
,,,,,
,,5,10705001,BIASA SN,BH
,,SES,,,
,,,,,
,,6,10706001,WC D26-60 SN,BH
,,DUMONT,,,
,,,,,
,,7,10707001,65MM A-B,BH
,,CAVELL,,,
,,,,,
,,8,10708001,SN,BH
,,DEA,10708002,PUTAR KUNCI,BH
,,,,,
,,9,10709001,KNOB 60MM SN COMP,BH
,,STARK,10709002,SN COMP,BH
,,,10709003,BLACK COMP,BH
,,,,,
,,10,10710001,LX 990,BH
,,GERBER,,,
,,,,,
,,11,10711001,7CM GP,BH
,,ARCHIE,,,
,,,,,
,,12,10712001,COMP SN,BH
,,SLG,,,
,,,,,
,,13,10713001,"6,5 CM",BH
,,OK,,,
,,,,,
,,14,10714001,,BH
,,ELBRUS,,,
,,,,,
,,15,10715001,"6,5 CM",BH
,,ORCHARD,,,
